Purchase ID,Customer ID,Product ID,Product Name,Purchase Date,Quantity,Total Price (INR),Payment Method,Discount Applied,Location,Customer Rating
Purchase_1,C001,1004,Mamaearth Tea Tree Face Wash,2023-08-12,2,698,Credit Card,5%,Delhi,4.6
Purchase_2,C001,1004,Mamaearth Tea Tree Face Wash,2023-08-12,2,698,Net Banking,20%,Pune,4.4
Purchase_3,C001,1005,Mamaearth Anti-Hair Fall Shampoo,2023-10-23,2,698,Net Banking,15%,Pune,4.6
Purchase_4,C001,1005,Mamaearth Anti-Hair Fall Shampoo,2023-10-23,1,349,Net Banking,20%,Mumbai,4.8
Purchase_5,C001,1005,Mamaearth Anti-Hair Fall Shampoo,2023-11-19,1,349,Net Banking,15%,Bangalore,4.7
Purchase_6,C001,1005,Mamaearth Anti-Hair Fall Shampoo,2023-12-29,2,698,Net Banking,10%,Bangalore,3.6
Purchase_7,C001,1006,Mamaearth Ubtan Face Mask,2024-03-16,1,349,Credit Card,15%,Bangalore,4.2
Purchase_8,C001,1006,Mamaearth Ubtan Face Mask,2024-03-16,1,349,Credit Card,15%,Delhi,4.4
Purchase_9,C001,1001,Mamaearth Onion Hair Oil,2024-05-28,1,399,Debit Card,5%,Chennai,3.6
Purchase_10,C001,1001,Mamaearth Onion Hair Oil,2024-12-07,1,399,Net Banking,20%,Pune,4.2
Purchase_11,C001,1004,Mamaearth Tea Tree Face Wash,2024-12-07,2,698,UPI,20%,Bangalore,3.5
Purchase_12,C001,1005,Mamaearth Anti-Hair Fall Shampoo,2025-03-23,2,698,Debit Card,15%,Delhi,5.0
Purchase_13,C001,1005,Mamaearth Anti-Hair Fall Shampoo,2025-03-23,2,698,Credit Card,5%,Bangalore,4.9
Purchase_14,C001,1006,Mamaearth Ubtan Face Mask,2025-06-08,2,698,Net Banking,10%,Chennai,4.8
Purchase_15,C001,1005,Mamaearth Anti-Hair Fall Shampoo,2025-06-08,1,349,Net Banking,0%,Bangalore,4.4
Purchase_16,C001,1003,Mamaearth Charcoal Body Wash,2025-07-14,1,349,Net Banking,5%,Chennai,4.6
Purchase_17,C001,1001,Mamaearth Onion Hair Oil,2025-07-14,1,399,Debit Card,20%,Chennai,3.5
Purchase_18,C002,1003,Mamaearth Charcoal Body Wash,2023-04-25,1,349,Net Banking,20%,Delhi,4.1
Purchase_19,C002,1006,Mamaearth Ubtan Face Mask,2023-06-06,2,698,Credit Card,10%,Delhi,4.5
Purchase_20,C002,1001,Mamaearth Onion Hair Oil,2023-06-06,2,798,Debit Card,10%,Bangalore,3.6
Purchase_21,C002,1003,Mamaearth Charcoal Body Wash,2023-09-02,2,698,Credit Card,15%,Chennai,4.1
Purchase_22,C002,1003,Mamaearth Charcoal Body Wash,2024-02-04,2,698,Net Banking,20%,Mumbai,4.8
Purchase_23,C002,1006,Mamaearth Ubtan Face Mask,2024-06-25,2,698,Net Banking,15%,Pune,3.8
Purchase_24,C002,1005,Mamaearth Anti-Hair Fall Shampoo,2024-10-28,1,349,Credit Card,10%,Pune,3.9
Purchase_25,C002,1002,Mamaearth Vitamin C Face Cream,2024-10-28,2,998,Net Banking,5%,Delhi,4.5
Purchase_26,C003,1003,Mamaearth Charcoal Body Wash,2023-04-01,1,349,Net Banking,20%,Mumbai,4.4
Purchase_27,C003,1004,Mamaearth Tea Tree Face Wash,2023-04-01,2,698,Credit Card,0%,Bangalore,4.3
Purchase_28,C003,1005,Mamaearth Anti-Hair Fall Shampoo,2023-10-22,2,698,Debit Card,5%,Mumbai,4.1
Purchase_29,C003,1001,Mamaearth Onion Hair Oil,2023-10-22,1,399,Debit Card,20%,Mumbai,3.7
Purchase_30,C003,1001,Mamaearth Onion Hair Oil,2024-05-04,1,399,UPI,5%,Chennai,4.1
Purchase_31,C003,1002,Mamaearth Vitamin C Face Cream,2024-05-04,1,499,UPI,5%,Chennai,4.0
Purchase_32,C003,1005,Mamaearth Anti-Hair Fall Shampoo,2024-08-16,1,349,Credit Card,5%,Pune,3.6
Purchase_33,C003,1001,Mamaearth Onion Hair Oil,2024-08-16,2,798,UPI,15%,Pune,3.8
Purchase_34,C003,1002,Mamaearth Vitamin C Face Cream,2024-11-05,1,499,Credit Card,0%,Chennai,4.8
Purchase_35,C003,1002,Mamaearth Vitamin C Face Cream,2024-11-05,1,499,Credit Card,0%,Delhi,4.8
Purchase_36,C003,1004,Mamaearth Tea Tree Face Wash,2024-12-18,2,698,Credit Card,15%,Chennai,3.5
Purchase_37,C003,1004,Mamaearth Tea Tree Face Wash,2025-02-08,2,698,Debit Card,10%,Bangalore,4.7
Purchase_38,C003,1006,Mamaearth Ubtan Face Mask,2025-04-21,2,698,Debit Card,15%,Bangalore,4.2
Purchase_39,C003,1005,Mamaearth Anti-Hair Fall Shampoo,2025-05-14,2,698,Net Banking,20%,Delhi,3.5
Purchase_40,C003,1004,Mamaearth Tea Tree Face Wash,2025-05-14,2,698,Credit Card,15%,Chennai,3.6
Purchase_41,C003,1006,Mamaearth Ubtan Face Mask,2025-06-23,2,698,Credit Card,5%,Bangalore,4.5
Purchase_42,C003,1004,Mamaearth Tea Tree Face Wash,2025-06-23,1,349,Debit Card,10%,Delhi,4.6
Purchase_43,C003,1005,Mamaearth Anti-Hair Fall Shampoo,2025-07-30,2,698,Debit Card,0%,Delhi,4.7
Purchase_44,C004,1006,Mamaearth Ubtan Face Mask,2023-04-19,2,698,Net Banking,5%,Bangalore,4.4
Purchase_45,C004,1005,Mamaearth Anti-Hair Fall Shampoo,2023-04-19,1,349,Net Banking,10%,Chennai,4.7
Purchase_46,C004,1006,Mamaearth Ubtan Face Mask,2023-05-05,2,698,Debit Card,5%,Pune,3.8
Purchase_47,C004,1006,Mamaearth Ubtan Face Mask,2023-05-05,1,349,Debit Card,0%,Delhi,4.9
